Stap;Bijbeltekst;Bijbelvertaling;Bijbelvers;Beeld;Bijbeloproep (synopsis);Bronnen;Overige;Muziek
28;Mat 6:9;HSV;Bidt u dan zo: Onze Vader…;;Bidt u dan zo: Onze Vader…;;;
28;Luk 9:18;HSV;En het gebeurde, toen Hij in persoonlijk gebed was, dat de discipelen in Zijn nabijheid waren. En Hij vroeg hun: Wie zeggen de menigten dat Ik ben?;;;;;
28;Luk 9:28;HSV;Het gebeurde ongeveer acht dagen na deze woorden dat Hij Petrus en Johannes en Jakobus meenam en de berg opklom om te bidden.;;;;;
;Luk 11:1-4;;"En het gebeurde, toen Hij ergens aan het bidden was, dat een van Zijn discipelen tegen Hem zei, toen Hij ophield: Heere, leer ons bidden, zoals ook Johannes zijn discipelen geleerd heeft.
2. Hij zei tegen hen: Wanneer u bidt, zeg dan: Onze Vader, Die in de hemelen zijt. Uw Naam worde geheiligd. Uw Koninkrijk kome. Uw wil geschiede, zoals in de hemel, zo ook op de aarde.
3. Geef ons elke dag ons dagelijks brood.
4. En vergeef ons onze zonden, want ook wij vergeven aan iedereen die ons iets schuldig is. En leid ons niet in verzoeking, maar verlos ons van de boze.";;;;;
29;Mat 6:12,14;HSV;En vergeef ons onze schulden, [...] Want als u de mensen hun overtredingen vergeeft, zal uw hemelse Vader u ook vergeven.;;Omdat God ons onze schulden vergeven heeft, kunnen we anderen vergeven.;https://redeeminggod.com/confess-1-john-1-9/;while God unconditionally extends forgiveness (charizomai) to all people, and so we are all forgiven for all our sins, if we want to actually experience a release (aphesis) from our bondage to sin, the first step is to agree (confess) with God that we have sinned.  If we do this, we will gain release from our slavery to sin, and He will work to cleanse us and purify us from all our unrighteous practices, and in this way, our fellowship with God will develop and grow.;
29;Mat 6:12,14-15;HSV;En vergeef ons onze schulden, zoals ook wij onze schuldenaren vergeven. [...] Want als u de mensen hun overtredingen vergeeft, zal uw hemelse Vader u ook vergeven. Maar als u de mensen hun overtredingen niet vergeeft, zal uw Vader uw overtredingen ook niet vergeven.;;;https://redeeminggod.com/two-kinds-of-forgiveness/;;
29;Mar 11:25;HSV;En wanneer u staat te bidden,  vergeef als u tegen iemand iets hebt, opdat ook uw Vader, Die in de hemelen is, u uw overtredingen vergeeft.;;;https://willemdevink.nl/vergeving/;;
29;Kol 3:13;HSV;"Verdraag elkaar en vergeef de een de ander, als iemand tegen iemand anders een klacht heeft; zoals ook Christus u vergeven heeft, zo moet ook u doen.";;;;;
29;Mat 5:21-26;;zie bijbel;;;;;
29;Mat 18:21-35;;de onbarmhartige knecht – zie bijbel;;;;Het woord “gave” dat hier gebruikt wordt wijst naar het offeren zoals ze in het oude testament offers gaven aan God ter verzoening van hun zonden. Hierdoor wijst dit gedeelte op dat we andere moeten vergeven die ons iets schuldig zijn.;
29;2 Kor 2:10;HSV;"Degene wie u nu iets vergeeft, die vergeef ik ook; want ook ik heb, als ik al iets te vergeven heb, het hem vergeven omwille van u, voor het aangezicht van Christus, opdat de satan op ons geen voordeel zou behalen.";;;;;
29;Ef 4:31,32;HSV;Laat alle bitterheid, woede, toorn, geschreeuw en laster van u weggenomen worden, met alle slechtheid, maar wees ten opzichte van elkaar vriendelijk [en] barmhartig, en vergeef elkaar, zoals ook God in Christus u vergeven heeft.;;;;;
29;Luk 6:37;NBV;Oordeel niet, dan zal er niet over je geoordeeld worden. Veroordeel niet, dan zul je niet veroordeeld worden. Vergeef, dan zal je ​vergeven​ worden.;;;;;
29;Luk 11:4;HSV;En vergeef ons onze zonden, want ook wij vergeven aan iedereen die ons iets schuldig is. En leid ons niet in verzoeking, maar verlos ons van de boze.;;;;;
30;Mat 6:16-18;HSV;"En wanneer u vast, toon dan geen droevig gezicht, zoals de huichelaars. Zij vervormen namelijk hun gezicht, zodat zij door de mensen gezien worden als zij vasten. Voorwaar, Ik zeg u dat zij hun loon al hebben. 17. Maar u, als u vast, zalf dan uw hoofd en was uw gezicht, 18. zodat het door de mensen niet gezien wordt als u vast, maar door uw Vader, Die in het verborgene is; en uw Vader, Die in het verborgene ziet, zal het u in het openbaar vergelden.";;Vast regelmatig;;;
30;Jes 58:6;HSV;Is dit niet het vasten dat Ik verkies: dat u de boeien van de goddeloosheid losmaakt, dat u de banden van het juk ontbindt, dat u de onderdrukten vrij laat heengaan en dat u elk juk breekt?;;;https://www.desiringgod.org/messages/gods-chosen-fast;We zijn geroepen om mensen te bevrijden van lasten, niet om hen te onderdrukken met lasten.;
30;Luk 2:37;HSV;En zij was een weduwe van ongeveer vierentachtig jaar, die de tempel niet verliet en met vasten en bidden God nacht en dag diende.;;;;;
30;Luk 5:35;HSV;"De dagen zullen echter komen, wanneer de Bruidegom van hen weggenomen zal zijn; dan, in die dagen, zullen zij vasten.";;;;;
30;Han 13:2-3;HSV;"En terwijl zij de Heere dienden en vastten, zei de Heilige Geest: Zonder voor Mij zowel Barnabas als Saulus af voor het werk waartoe Ik hen geroepen heb.
3. Toen vastten en baden zij, en nadat zij hun de handen opgelegd hadden, lieten zij hen gaan.";;;;;
30;Mat 9:15;HSV;Jezus zei tegen hen: De bruiloftsgasten kunnen toch niet treuren zolang de Bruidegom bij hen is? Maar de dagen zullen komen dat de Bruidegom van hen weggenomen zal zijn, en dan zullen zij vasten.;;;;;
30;Mat 17:21;HSV;Maar dit soort gaat niet uit dan door bidden en vasten.;;;;;
30;Mar 2:18-20;HSV;"En de discipelen van Johannes en van de Farizeeën vastten; en zij kwamen en zeiden tegen Hem: Waarom vasten de discipelen van Johannes en van de Farizeeën wel en waarom vasten Uw discipelen niet?
19. En Jezus zei tegen hen: De bruiloftsgasten kunnen toch niet vasten terwijl de Bruidegom bij hen is? Zolang zij de Bruidegom bij zich hebben, kunnen zij niet vasten,
20. maar de dagen zullen komen dat de Bruidegom van hen weggenomen zal zijn, en dan, in die dagen, zullen zij vasten.";;;;;
30;Mar 9:28-29;HSV;"En toen Hij in huis gegaan was, en zij alleen waren, vroegen Zijn discipelen Hem: Waarom hebben wij hem niet kunnen uitdrijven?
29. En Hij zei tegen hen: Dit soort kan nergens anders door uitgaan dan door bidden en vasten.";;;;;
31;Mat 6:19-21;HSV;"Verzamel geen schatten voor u op de aarde, waar mot en roest ze verderven, en waar dieven inbreken en stelen;
20. maar verzamel schatten voor u in de hemel, waar geen mot of roest ze verderft, en waar dieven niet inbreken of stelen;
21. want waar uw schat is, daar zal ook uw hart zijn.";;Verzamel schatten voor u in de hemel;;;
31;Spr 23:4;HSV;Mat u niet af om rijk te worden, gebruik daarvoor uw inzicht niet.;;;;;
31;Jak 5:1;HSV;Nu dan, rijken, huil en jammer over al de ellende die u overkomt. 2. Uw rijkdom is vergaan en uw kleren zijn door de motten aangevreten. 3. Uw goud en zilver is verroest en hun roest zal een getuigenis tegen u zijn en uw vlees als een vuur verteren. U hebt schatten verzameld in de laatste dagen.;;;;;
31;Mat 19:21;HSV;"Jezus zei tegen hem: Als u volmaakt wilt zijn, ga dan heen, verkoop wat u hebt, en geef het aan de armen, en u zult een schat hebben in de hemel; en kom dan en volg Mij.";;;;;
;;;;;;;;
31;Mat 12:35;HSV;De goede mens brengt goede dingen voort uit de goede schat van het hart, en de slechte mens brengt slechte dingen voort uit de slechte schat.;;;;;
31;;;;;;;;
31;Mat 23:3-4;HSV;"Zij die dwaas waren, namen wel hun lampen maar geen olie met zich mee.
4. De wijzen namen met hun lampen ook olie mee in hun kruikjes.";;;;;
31;Luk 6:45;HSV;De goede mens brengt het goede voort uit de goede schat van zijn hart, en de slechte mens brengt het slechte voort uit de slechte schat van zijn hart, want uit de overvloed van het hart spreekt zijn mond.;;;;;
31;Mat 12:34-35;HSV;"Adderengebroed! Hoe kunt u goede dingen spreken, terwijl u slecht bent? Want uit de overvloed van het hart spreekt de mond.
35. De goede mens brengt goede dingen voort uit de goede schat van het hart, en de slechte mens brengt slechte dingen voort uit de slechte schat.";;;;;
31;Luk 12:33-34;HSV;"Verkoop uw bezittingen en geef de opbrengst weg als liefdegave. Maak voor uzelf beurzen die niet verslijten, een schat die niet opraakt, in de hemelen, waar de dief niet bij komt en die door de mot niet aangetast wordt.
34. Want waar uw schat is, daar zal ook uw hart zijn.";;;;;
;;;;;;;;
32;Mat 6:25-34;HSV;"Daarom zeg Ik u: Wees niet bezorgd over uw leven, over wat u eten en wat u drinken zult; ook niet over uw lichaam, namelijk waarmee u zich kleden zult. Is het leven niet meer dan het voedsel en het lichaam meer dan de kleding?
26. Kijk naar de vogels in de lucht: zij zaaien niet en maaien niet, en verzamelen niet in schuren; uw hemelse Vader voedt ze evenwel; gaat u ze niet ver te boven?
27. Wie toch van u kan met bezorgd te zijn één el aan zijn lengte toevoegen?
28. En wat bent u bezorgd over de kleding? Kijk naar de lelies in het veld, hoe ze groeien; ze werken niet en spinnen niet;
29. en Ik zeg u dat zelfs Salomo in al zijn heerlijkheid niet gekleed ging als één van deze.
30. Als God nu het gras op het veld, dat er vandaag is en morgen in de oven geworpen wordt, zo bekleedt, zal Hij u niet veel meer kleden, kleingelovigen?
31. Wees daarom niet bezorgd en zeg niet: Wat zullen wij eten? of: Wat zullen wij drinken? of: Waarmee zullen wij ons kleden?
32. Want al deze dingen zoeken de heidenen. Uw hemelse Vader weet immers dat u al deze dingen nodig hebt.
33. Maar zoek eerst het Koninkrijk van God en Zijn gerechtigheid, en al deze dingen zullen u erbij gegeven worden.
34. Wees dan niet bezorgd over de dag van morgen, want de dag van morgen zal voor zichzelf zorgen; elke dag heeft genoeg aan zijn eigen kwaad.";Mussen die brood eten?;Wees niet bezorgd over de dag van morgen, want de dag van morgen zal voor zichzelf zorgen;God belooft niet genoeg eten om in comfort te leven of hoe dan ook in leven te blijven – Hij belooft je genoeg om Hem te kunnen blijven vertrouwen en zijn wil te blijven doen. (bron: verspil je leven niet – John Piper, blz 92);;
32;Ex 16:4;NaB;"Dan zegt de Ene tot Mozes: zie, ik laat voor u brood uit de hemelen regenen; de gemeente zal erop uitgaan en vergaren het afgesprokene* voor een dag op die dag, zodat ik hem kan beproeven of hij wandelt met mijn onderricht of niet!-";;;Net als God het manna naar de aarde zond, heeft God Jezus naar de aarde gezonden, als brood voor het eeuwige leven. Elke dag moeten wij het levende brood dat Jezus ons wilt geven tot ons nemen. Dat betekent dat we de lessen die hij onderwees toepassen op ons leven.;;
32;Luk 12:22-34;HSV;"En Hij zei tegen Zijn discipelen: Daarom zeg Ik u: Wees niet bezorgd over uw leven: over wat u eten zult, of over uw lichaam: waarmee u zich kleden zult.
23. Het leven is meer dan het voedsel en het lichaam meer dan de kleding.
24. Let op de raven: zij zaaien niet en maaien niet, zij hebben geen voorraadkamer en geen schuur, en God voedt hen. Hoever gaat u de vogels te boven?
25. Wie toch van u kan met bezorgd te zijn één el aan zijn lengte toevoegen?
26. Als u dan ook het minste niet kunt, waarom bent u over de andere dingen bezorgd?
27. Let op de lelies, hoe zij groeien. Ze werken niet en spinnen niet, en Ik zeg u dat zelfs Salomo in al zijn heerlijkheid niet gekleed ging als één van deze.
28. Als God nu het gras op het veld, dat er vandaag is en morgen in de oven geworpen wordt, zo bekleedt, hoeveel te meer u, kleingelovigen!
29. En u, vraag niet wat u eten of wat u drinken zult, en wees niet verontrust.
30. Want naar al deze dingen zoeken de volken van de wereld. Uw Vader echter weet dat u deze dingen nodig hebt.
31. Maar zoek het Koninkrijk van God en al deze dingen zullen u erbij gegeven worden.
32. Wees niet bevreesd, kleine kudde, want het heeft uw Vader behaagd u het Koninkrijk te geven.
33. Verkoop uw bezittingen en geef de opbrengst weg als liefdegave. Maak voor uzelf beurzen die niet verslijten, een schat die niet opraakt, in de hemelen, waar de dief niet bij komt en die door de mot niet aangetast wordt.
34. Want waar uw schat is, daar zal ook uw hart zijn.";;;;;
9999;Mat 7:3-5;HSV;"Waarom ziet u wel de splinter in het oog van uw broeder, maar merkt u de balk in uw eigen oog niet op?
4. Of, hoe zult u tegen uw broeder zeggen: Laat toe dat ik de splinter uit uw oog haal; en zie, er is een balk in uw eigen oog?
5. Huichelaar, haal eerst de balk uit uw oog en dan zult u goed kunnen zien om de splinter uit het oog van uw broeder te halen.";;Practice (first) what you preach;;;
9999;Spr 18:17;HSV;Wie de eerste is in zijn rechtszaak, lijkt rechtvaardig te zijn, maar dan komt zijn naaste en doorgrondt hem.;;;;;
9999;Luk 6:41-42;HSV;"Waarom ziet u wel de splinter in het oog van uw broeder, maar merkt u de balk in uw eigen oog niet op?
42. Of hoe kunt u tegen uw broeder zeggen: Broeder, laat toe dat ik de splinter, die in uw oog is, eruit haal, terwijl u zelf de balk in uw oog niet ziet? Huichelaar, haal eerst de balk uit uw oog en dan zult u goed kunnen zien om de splinter, die in het oog van uw broeder is, eruit te halen.";;;;;
33;Mat 7:1-5;HSV;"Oordeel niet, opdat u niet geoordeeld wordt;
2. want met het oordeel waarmee u oordeelt, zult u zelf geoordeeld worden; en met welke maat u meet, zal er bij u ook gemeten worden.
3. Waarom ziet u wel de splinter in het oog van uw broeder, maar merkt u de balk in uw eigen oog niet op?
4. Of, hoe zult u tegen uw broeder zeggen: Laat toe dat ik de splinter uit uw oog haal; en zie, er is een balk in uw eigen oog?
5. Huichelaar, haal eerst de balk uit uw oog en dan zult u goed kunnen zien om de splinter uit het oog van uw broeder te halen.";;Wijs broers en zussen terecht in een geest van zachtmoedigheid, en oordeel niet;;;
33;1 Kor 4:14;HSV;Ik schrijf deze dingen niet om u te beschamen, maar als mijn geliefde kinderen wijs ik u terecht.;;;;;
33;Gal 6:1;HSV;Broeders, ook als iemand onverhoeds tot enige overtreding komt, moet u die geestelijk bent, zo iemand weer terechtbrengen, in een geest van zachtmoedigheid. Houd intussen uzelf in het oog, opdat ook u niet in verzoeking komt.;;;;;
33;Mat 7:6;HSV;Geef het heilige niet aan de honden, en werp uw parels niet voor de zwijnen, opdat die ze niet op enig moment met hun poten vertrappen, zich omkeren en u verscheuren.;;;;;
33;Mat 10:16;HSV;"Zie, Ik zend u als schapen te midden van de wolven; wees dus bedachtzaam als de slangen en oprecht als de duiven.";;;;;
33;Spr 9:8;HSV;Wijs een spotter niet terecht, anders zal hij u haten. Wijs een wijze terecht, en hij zal u liefhebben.;;;;;
33;Spr 23:9;HSV;Spreek niet ten aanhoren van een dwaas, want hij zal het verstand in uw woorden verachten.;;;;;
33;Mat 18:15-17;HSV;"Maar als uw broeder tegen u gezondigd heeft, ga naar hem toe en wijs hem terecht tussen u en hem alleen; als hij naar u luistert, hebt u uw broeder gewonnen.
16. Maar als hij niet naar u luistert, neem er dan nog een of twee met u mee, opdat in de mond van twee of drie getuigen elk woord vaststaat.
17. Als hij niet naar hen luistert, zeg het dan tegen de gemeente. En als hij ook niet naar de gemeente luistert, laat hij dan voor u als de heiden en de tollenaar zijn.";;;;;
;;;;;;;;
34;Mat 7:7-8;HSV;"Bid, en u zal gegeven worden; […] 8. Want ieder die bidt, die ontvangt;";;Bid, en u zal gegeven worden;;;
34;Luk 11:13;HSV;Als u die slecht bent, uw kinderen dus goede gaven weet te geven, hoeveel te meer zal de hemelse Vader de Heilige Geest geven aan hen die tot Hem bidden?;;;;;
34;1 Kon 8:29;HSV;Laten Uw ogen open zijn, nacht en dag, over dit huis, over deze plaats, waarvan U hebt gezegd: Mijn Naam zal daar zijn, om te luisteren naar het gebed dat Uw dienaar op deze plaats zal bidden.;;;;;
34;Mar 11:24;HSV;Daarom zeg Ik u: alles wat u biddend begeert, geloof dat u het ontvangen zult, en het zal u ten deel vallen.;;;;;
34;Joh 14:12-14;HSV;"Voorwaar, voorwaar, Ik zeg u: Wie in Mij gelooft, zal de werken die Ik doe, ook doen, en hij zal grotere doen dan deze, want Ik ga heen naar Mijn Vader.
13. En wat u ook zult vragen in Mijn Naam, dat zal Ik doen, opdat de Vader in de Zoon verheerlijkt zal worden.
14. Als u iets vragen zult in Mijn Naam, Ik zal het doen.";;;;;
34;Joh 15:7;HSV;Als u in Mij blijft en Mijn woorden in u blijven, vraag wat u maar wilt en het zal u ten deel vallen.;;;;;
34;Joh 16:24;HSV;"Tot nu toe hebt u niets gebeden in Mijn Naam; bid, en u zult ontvangen, opdat uw blijdschap volkomen zal worden.";;;;;
34;Jak 1:5-7;HSV;"En als iemand van u in wijsheid tekortschiet, laat hij die dan vragen aan God, Die aan ieder overvloedig geeft en geen verwijten maakt, en ze zal hem gegeven worden.
6. Maar laat hij er in geloof om vragen en daarbij niet twijfelen. Immers, wie twijfelt, lijkt op een golf van de zee, die door de wind voortgestuwd en op- en neergeworpen wordt.
7. Want zo iemand moet niet denken dat hij iets ontvangen zal van de Heere.";;;;;
34;1 Joh 3:22;HSV;en wat wij ook maar bidden, ontvangen wij van Hem, omdat wij Zijn geboden in acht nemen en doen wat Hem welgevallig is.;;;;;
34;1 Joh 5:14;HSV;En dit is de vrijmoedigheid die wij hebben in het toegaan tot God, dat Hij ons verhoort, telkens als wij iets bidden naar Zijn wil.;;;;;
34;Kol 4:12;HSV;Epafras groet u, die er een van u is, een dienstknecht van Christus, die altijd voor u strijdt in de gebeden, opdat u, volmaakt en volkomen, vaststaat in heel de wil van God.;;;;;
35;Mat 7:7-8;HSV;"Zoek, en u zult vinden; […] ; wie zoekt, die vindt;";;Zoek, en u zult vinden;;;
35;Ps 22:27;HSV;"De zachtmoedigen zullen eten en verzadigd worden; wie de HEERE zoeken, zullen Hem loven. Uw hart zal voor eeuwig leven.";;;;;
35;Ps 69:33;HSV;"Als de zachtmoedigen dit zien, zullen zij zich verblijden; u die God zoekt, uw hart zal leven.";;;;;
35;Zef 2:3;HSV;Zoek de HEERE, alle zachtmoedigen van het land, die Zijn recht uitvoeren. Zoek gerechtigheid, zoek zachtmoedigheid, misschien zult u [dan] verborgen worden op de dag van de toorn van de HEERE.;;;;;
35;Mat 6:33;HSV;Maar zoek eerst het Koninkrijk van God en Zijn gerechtigheid, en al deze dingen zullen u erbij gegeven worden.;;;;;
35;Mat 13:45;HSV;Ook is het Koninkrijk der hemelen gelijk aan een koopman die mooie parels zoekt.;;;;;
35;Ps 34:11;HSV;Jonge leeuwen lijden armoede en honger, maar wie de HEERE zoeken, hebben geen gebrek aan enig goed.;;;;;
35;Luk 12:31;HSV;Maar zoek het Koninkrijk van God en al deze dingen zullen u erbij gegeven worden.;;;;;
36;Mat 7:7-8;HSV;klop, en er zal voor u opengedaan worden. [...] en voor wie klopt zal opengedaan worden.;;Klopt, en er zal voor u opengedaan worden;;;
36;Luk 11:5-13;HSV;"En Hij zei tegen hen: Stel dat iemand van u een vriend heeft en midden in de nacht naar hem toe gaat en tegen hem zegt: Vriend, leen mij drie broden,
6. want mijn vriend is van een reis bij mij gekomen en ik heb niets om hem voor te zetten,
7. en dat die vriend van binnen uit het huis dan zou antwoorden en zeggen: Val mij niet lastig. De deur is al gesloten en mijn kinderen zijn bij mij in de slaapkamer; ik kan niet opstaan om ze u te geven.
8. Ik zeg u: Al zou hij niet opstaan en ze hem geven, omdat hij zijn vriend is, dan zou hij toch om zijn onbeschaamdheid opstaan en hem er zoveel geven als hij nodig heeft.
9. En Ik zeg u: Bid, en u zal gegeven worden; zoek, en u zult vinden; klop, en er zal voor u opengedaan worden.
10. Want ieder die bidt, die ontvangt; wie zoekt, die vindt; en wie klopt, voor hem zal er opengedaan worden.
11. Welke vader onder u zal aan zijn zoon, als hij hem om brood vraagt, een steen geven, of ook als hij om een vis vraagt, hem in plaats van een vis een slang geven,
12. of ook als hij om een ei vraagt, hem een schorpioen geven?
13. Als u die slecht bent, uw kinderen dus goede gaven weet te geven, hoeveel te meer zal de hemelse Vader de Heilige Geest geven aan hen die tot Hem bidden?";;;;;
36;Opb 3:20;HSV;Zie, Ik sta aan de deur en Ik klop. Als iemand Mijn stem hoort en de deur opent, zal Ik bij hem binnenkomen en de maaltijd met hem gebruiken, en hij met Mij.;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
34;Mat 7:12;HSV;Alles dan wat u wilt dat de mensen u doen, doet u hun ook zo, want dat is de Wet en de Profeten.;;Behandel anderen zoals je zelf behandeld zou willen worden;;;
34;Luk 6:31;HSV;En zoals u wilt dat de mensen u doen, doet u hun ook zo.;;;;;
34;Mar 12:31;HSV;U zult uw naaste liefhebben als uzelf.;;;;;
;;;;;;;;
;;;;;;;;
35;Mat 7:15-20;HSV;"Maar wees op uw hoede voor de valse profeten, die in schapenvacht naar u toe komen maar van binnen roofzuchtige wolven zijn.
16. Aan hun vruchten zult u hen herkennen. Men plukt toch geen druif van doornstruiken of vijgen van distels?
17. Zo brengt iedere goede boom goede vruchten voort en een slechte boom brengt slechte vruchten voort.
18. Een goede boom kan geen slechte vruchten voortbrengen en een slechte boom kan geen goede vruchten voortbrengen.
19. Iedere boom die geen goede vrucht voortbrengt, wordt omgehakt en in het vuur geworpen.
20. Zo zult u hen dus aan hun vruchten herkennen.";;Pas op dat niemand u misleidt;;;
35;Deut 13:3;HSV;luister dan niet naar de woorden van die profeet of naar hem die die dromen heeft! Want de HEERE, uw God, stelt u dan op de proef om te weten of u de HEERE, uw God, liefhebt met heel uw hart en met heel uw ziel.;;;;;
35;Jer 23:16;HSV;"Zo zegt de HEERE van de legermachten:
Luister niet naar de woorden van die profeten die tot u profeteren.
Zij geven u ijdele hoop.
Zij spreken een visioen uit hun eigen hart,
niet uit de mond van de HEERE.";;;;;
35;Mat 24:4;HSV;En Jezus antwoordde en zei tegen hen: Pas op dat niemand u misleidt.;;;;;
35;Mar 8:15;HSV;En Hij gebood hun en zei: Kijk uit, pas op voor het zuurdeeg van de Farizeeën en voor het zuurdeeg van Herodes.;;;;;
35;Ef 5:6;HSV;Laat niemand u misleiden met inhoudsloze woorden, want om deze dingen komt de toorn van God over de kinderen van de ongehoorzaamheid.;;;;;
35;Kol 2:8;HSV;Pas op dat niemand u als buit meesleept door de filosofie en inhoudsloze verleiding, volgens de overlevering van de mensen, volgens de grondbeginselen van de wereld, maar niet volgens Christus.;;;;;
35;Rom 16:17;HSV;En ik roep u ertoe op, broeders, hen in het oog te houden die onenigheden teweegbrengen en struikelblokken opwerpen tegen het onderricht dat u hebt ontvangen, en keer u van hen af.;;;;;
35;1 Joh 4:1;HSV;"Geliefden, geloof niet elke geest, maar beproef de geesten of zij uit God zijn; want er zijn veel valse profeten in de wereld uitgegaan.";;;;;
35;Jer 29:8,9;HSV;"Want zo zegt de HEERE van de legermachten, de God van Israël: Laten uw profeten die in uw midden zijn, en uw waarzeggers u niet bedriegen. Luister niet naar uw dromers die u laat dromen,
9. want met leugen profeteren zij tegen u in Mijn Naam. Ik heb hen niet gezonden, spreekt de HEERE.";;;;;
35;Mat 16:6,11-12;HSV;"Jezus zei tegen hen: Kijk uit, en wees op uw hoede voor het zuurdeeg van de Farizeeën en de Sadduceeën.
11 Waarom ziet u dan niet in dat Ik tot u niet over brood gesproken heb, toen Ik zei dat u op uw hoede moest zijn voor het zuurdeeg van de Farizeeën en de Sadduceeën?
12. Toen begrepen zij dat Hij niet gezegd had dat zij op hun hoede moesten zijn voor het zuurdeeg van het brood, maar voor het onderricht van de Farizeeën en de Sadduceeën.";;;;;
35;Mar 12:38;HSV;En Hij zei tegen hen in Zijn onderricht: Pas op voor de schriftgeleerden, die gesteld zijn op het rondlopen in lange gewaden, op begroetingen op de markten,;;;;;
35;Mar 13:5;HSV;En Jezus antwoordde hun en begon te zeggen: Pas op dat niemand u misleidt.;;;;;
35;Luk 12:1b;HSV;Wees op uw hoede voor het zuurdeeg van de Farizeeën, dat is de huichelarij.;;;;;
36;Mat 7:24-25, Luk 6:46-47;HSV;"Daarom, ieder die deze woorden van Mij hoort en ze doet, die zal Ik vergelijken met een verstandig man, die zijn huis op de rots gebouwd heeft;
25. en de slagregen viel neer en de waterstromen kwamen en de winden waaiden en stortten zich op dat huis, maar het stortte niet in, want het was op de rots gefundeerd.
Opiëren";;Hoor, begrijp en doe;;;
36;Luk 8:10;HSV;Hij zei: Aan u is het gegeven de geheimenissen van het Koninkrijk van God te kennen, maar tot de anderen spreek Ik in gelijkenissen, opdat zij niet zien, ook al zien zij, en niet begrijpen, ook al horen zij.;;;;;
36;Luk 8:21;HSV;Maar Hij antwoordde en zei tegen hen: Mijn moeder en Mijn broeders zijn dezen, die het Woord van God horen en dat doen.;;;;;
36;Rom 2:13;HSV;Niet de hoorders van de wet zijn immers rechtvaardig voor God, maar de daders van de wet zullen gerechtvaardigd worden.;;;;;
36;Jak 1:22-25;HSV;"En wees daders van het Woord en niet alleen hoorders. Anders bedriegt u uzelf.
23. Als iemand immers een hoorder van het Woord is en geen dader, lijkt hij op een man die het gezicht waarmee hij geboren is, in een spiegel bekijkt,
24. want hij heeft zichzelf bekeken, is weggegaan en is meteen vergeten hoe hij eruitzag.
25. Hij echter die zich in de volmaakte wet verdiept, die van de vrijheid, en daarbij blijft, die zal, omdat hij niet een vergeetachtige hoorder geworden is, maar een dader van het werk, zalig zijn in wat hij doet.";;;;;
36;1 Joh 2:5;HSV;Maar ieder die Zijn woord in acht neemt, in hem is werkelijk de liefde van God volmaakt geworden. Hierdoor weten wij dat wij in Hem zijn.;;;;;
36;Joh 14:23;HSV;"Jezus antwoordde en zei tegen hem: Als iemand Mij liefheeft, zal hij Mijn woord in acht nemen; en Mijn Vader zal hem liefhebben, en Wij zullen naar hem toe komen en bij hem intrek nemen.";;;;;
36;Deut 13:4;HSV;"Achter de HEERE, uw God, moet u aan gaan, Hem moet u vrezen, Zijn geboden moet u in acht nemen en Zijn stem gehoorzamen; Hem moet u dienen en u aan Hem vasthouden.";;;;;
36;Mat 13:13;HSV;Daarom spreek Ik tot hen door gelijkenissen, omdat zij niet zien, ook al zien zij, en niet horen, ook al horen zij, en ook niet begrijpen.;;;;;
36;Mar 13:16;HSV;Maar uw ogen zijn zalig omdat zij zien, en uw oren omdat zij horen.;;;;;
36;Mat 13:23;HSV;Bij wie in de goede aarde gezaaid is, dat is hij die het Woord hoort en begrijpt, die ook vrucht draagt en voortbrengt, de één honderd-, de ander zestig-, en de ander dertigvoudig.;;;;;
;;;;;;;;
36;Mat 13:43;HSV;Dan zullen de rechtvaardigen stralen als de zon, in het Koninkrijk van hun Vader. Wie oren heeft om te horen, laat hij horen.;;;;;
36;Mat 15:10-11;HSV;"En toen Hij de menigte bij Zich geroepen had, zei Hij tegen hen: Luister en begrijp het goed:
11. Wat de mond ingaat, verontreinigt de mens niet; maar wat de mond uitkomt, dat verontreinigt de mens.";;;;;
36;Mar 7:14-16;HSV;"En toen Hij heel de menigte bij Zich geroepen had, zei Hij tegen hen: Luister allen naar Mij en begrijp het goed:
15. Er is niets dat van buitenaf de mens binnengaat, dat hem kan verontreinigen; maar de dingen die van hem uitgaan, die zijn het die de mens verontreinigen. 16 Als iemand oren heeft om te horen, laat hij dan horen.";;;;;
36;Mar 8:17;HSV;En Jezus, Die dat wist, zei tegen hen: Waarom spreekt u erover met elkaar dat u geen broden hebt? Ziet u het nog niet in en begrijpt u het niet? Hebt u nog uw verharde hart?;;;Een reden waarom je niet hoort, begrijpt en doet, is omdat je hart verhard is!;;
36;Mat 22:14;HSV;Want velen zijn geroepen, maar weinigen uitverkoren.;;;;;
36;Opb 1:3;HSV;3 Zalig is hij die leest en zijn zij die horen de woorden van de profetie, en die in acht nemen wat daarin geschreven staat, want de tijd is nabij.;;;;;
36;Fil 4:9;HSV;"Wat u ook geleerd en ontvangen en gehoord en in mij gezien hebt, doe dat; en de God van de vrede zal met u zijn.";;;;;
